id,text,urgency,category
a9301d9c4c,Water leakage from main pipeline at Green Avenue,urgent,water
39708d7ec3,Faded lane markings on busy junction at River Bridge,normal,road
99d9ff200e,Mosquito breeding due to stagnant water at Railway Crossing,urgent,health
9ee6bfe6f8,Frequent power cuts happening near Library Circle,urgent,electricity
825a4a77e0,Electric pole wires hanging dangerously at Ward 14,urgent,electricity
454e19e47c,Damaged speed breaker making vehicles jump at Sector 9,urgent,road
bf58da7ab5,Street light not working at Library Circle,normal,electricity
37c4abc3c4,Transformer making loud noise near Main Square,normal,electricity
521203207c,Street light not working at Green Avenue,normal,electricity
9d3f1c5899,Damaged speed breaker making vehicles jump at Central Park,normal,road
4e285df023,Low pressure water supply reported around Temple Street,normal,water
fad4a5a632,Overflowing dustbin causing smell at Old Market,urgent,sanitation
94ec8e0585,Large pothole near Railway Crossing causing accidents,urgent,road
d06f01d412,Blocked drain causing stagnant water at Bus Stand,urgent,sanitation
dd1fde825a,Medical waste dumped openly behind Ward 14,normal,health
a9301d9c4c,Water leakage from main pipeline at Green Avenue,urgent,water
b7dc28a6ac,Broken public bench near School Gate,normal,other
c8a1865ee3,Faded lane markings on busy junction at Stadium Entrance,normal,road
062a136848,Broken public tap wasting water at Old Market,normal,water
4b1b0e1430,Unhygienic conditions around public clinic at River Bridge,normal,health
6b2f332002,Voltage fluctuation damaging appliances around River Bridge,normal,electricity
bd5ae43347,Broken public bench near Hospital Road,urgent,other
990363d857,Frequent power cuts happening near River Bridge,normal,electricity
dd1fde825a,Medical waste dumped openly behind Ward 14,normal,health
cfd6402db5,Broken public bench near Ward 14,normal,other
4ac19aec01,Electric pole wires hanging dangerously at Green Avenue,urgent,electricity
fa18725758,Frequent power cuts happening near Temple Street,normal,electricity
5ef7a34ff7,Low pressure water supply reported around Old Market,normal,water
f25a00c80b,Unauthorized street vendor congestion at Library Circle,normal,other
60b6f99818,Low pressure water supply reported around Main Square,normal,water
030af3b803,Garbage pile not collected for days near Railway Crossing,urgent,sanitation
582e2d798b,Broken public bench near Green Avenue,normal,other
47eb01d2d6,Construction debris blocking part of the road at Community Hall,urgent,road
767cf0b4fc,Faded lane markings on busy junction at Old Market,urgent,road
5b2215b164,Vandalized signboard at Central Park,normal,other
90fd079146,Mosquito breeding due to stagnant water at School Gate,urgent,health
99752fb7f2,Low pressure water supply reported around Railway Crossing,normal,water
74e1d6005d,Contaminated muddy water coming from tap at Hospital Road,urgent,water
03009bd44e,Large pothole near Main Square causing accidents,urgent,road
2794ad3680,Water leakage from main pipeline at Temple Street,urgent,water
631807a7c0,Blocked drain causing stagnant water at Community Hall,urgent,sanitation
8f5ca62a7b,Faded lane markings on busy junction at Bus Stand,normal,road
ece667b06d,Voltage fluctuation damaging appliances around Community Hall,urgent,electricity
0e525ac7d3,Noise complaint due to loud speakers at Ward 14,normal,other
89899f55e4,Noise complaint due to loud speakers at Central Park,normal,other
300445bc75,Damaged speed breaker making vehicles jump at Green Avenue,normal,road
79444203af,Broken public bench near Railway Crossing,urgent,other
e90c039294,Damaged speed breaker making vehicles jump at River Bridge,urgent,road
89b99d054e,Illegal parking blocking access near Old Market,urgent,other
23abe77392,Noise complaint due to loud speakers at School Gate,normal,other
5c009d3a86,Garbage pile not collected for days near Central Park,normal,sanitation
062a136848,Broken public tap wasting water at Old Market,urgent,water
4fc7a972cb,Overflowing dustbin causing smell at Green Avenue,urgent,sanitation
70c863d914,Broken public tap wasting water at Bus Stand,urgent,water
60b6f99818,Low pressure water supply reported around Main Square,urgent,water
592711d3b1,Blocked drain causing stagnant water at Sector 9,urgent,sanitation
872fe6aa69,Open sewage causing foul smell near Bus Stand,urgent,health
91492e3b45,Dog bite incident reported at Bus Stand,urgent,health
81c9dfeba4,Vandalized signboard at School Gate,normal,other
18206826b1,Broken public tap wasting water at Sector 9,normal,water
668eb5da65,Unhygienic conditions around public clinic at School Gate,urgent,health
a985e5788f,Open waste dumping spotted behind School Gate,normal,sanitation
6afc07b454,Blocked drain causing stagnant water at River Bridge,urgent,sanitation
de3d1e7a9c,Litter scattered around market area near Hospital Road,urgent,sanitation
b6dc4f83b7,Unauthorized street vendor congestion at Stadium Entrance,normal,other
1543b8d9aa,Open sewage causing foul smell near Green Avenue,urgent,health
18898f8536,Low pressure water supply reported around Library Circle,normal,water
2e275d7b7e,Electric pole wires hanging dangerously at River Bridge,urgent,electricity
df22a5f43e,No water supply in houses near Old Market since morning,urgent,water
d06f01d412,Blocked drain causing stagnant water at Bus Stand,urgent,sanitation
f1f1e8c135,Vandalized signboard at Hospital Road,urgent,other
bbc2312fa2,Damaged speed breaker making vehicles jump at Hospital Road,normal,road
5c009d3a86,Garbage pile not collected for days near Central Park,normal,sanitation
a985e5788f,Open waste dumping spotted behind School Gate,urgent,sanitation
b3d6197bc0,No water supply in houses near Stadium Entrance since morning,normal,water
ef50fe1686,Broken public tap wasting water at Hospital Road,normal,water
0aef8cf9de,No water supply in houses near Sector 9 since morning,normal,water
a80658706a,Construction debris blocking part of the road at Bus Stand,normal,road
1af30fbd0c,Frequent power cuts happening near Old Market,urgent,electricity
b300806cf2,Frequent power cuts happening near Ward 14,urgent,electricity
4661b964bd,Broken public bench near Main Square,normal,other
fa2c24326f,Street light not working at School Gate,normal,electricity
3004f9218f,Overflowing dustbin causing smell at Hospital Road,urgent,sanitation
faf623ecd7,Transformer making loud noise near Green Avenue,normal,electricity
55bb2b870e,Dog bite incident reported at Railway Crossing,urgent,health
f44d363dba,Transformer making loud noise near Railway Crossing,urgent,electricity
94ec8e0585,Large pothole near Railway Crossing causing accidents,urgent,road
821e85ef97,Broken public tap wasting water at Temple Street,normal,water
c5b6dfea35,Medical waste dumped openly behind Railway Crossing,normal,health
6113133a7f,Electric pole wires hanging dangerously at Hospital Road,urgent,electricity
cff810e3bc,Frequent power cuts happening near Community Hall,normal,electricity
90ea83ddbe,Water leakage from main pipeline at Main Square,urgent,water
0a3cae2c7f,Dog bite incident reported at Main Square,urgent,health
81c9dfeba4,Vandalized signboard at School Gate,urgent,other
23abe77392,Noise complaint due to loud speakers at School Gate,urgent,other
cce84c0fa9,Unauthorized street vendor congestion at Railway Crossing,urgent,other
5d34c0ec92,Unauthorized street vendor congestion at Community Hall,normal,other
3e73f04213,Litter scattered around market area near Ward 14,normal,sanitation
d7d2a987dc,Frequent power cuts happening near Green Avenue,urgent,electricity
3004f9218f,Overflowing dustbin causing smell at Hospital Road,urgent,sanitation
990363d857,Frequent power cuts happening near River Bridge,normal,electricity
65fc0f5a10,Construction debris blocking part of the road at Temple Street,normal,road
48a116aa6d,Contaminated muddy water coming from tap at Bus Stand,urgent,water
d33b6d7c41,Construction debris blocking part of the road at Central Park,normal,road
d06f01d412,Blocked drain causing stagnant water at Bus Stand,urgent,sanitation
dd1fde825a,Medical waste dumped openly behind Ward 14,normal,health
dced5f6bff,Mosquito breeding due to stagnant water at Stadium Entrance,urgent,health
60b6f99818,Low pressure water supply reported around Main Square,normal,water
463f63452d,Street light not working at Central Park,normal,electricity
8b598e4742,Illegal parking blocking access near Temple Street,normal,other
5cdfc43356,Voltage fluctuation damaging appliances around Railway Crossing,normal,electricity
93adf0e8c2,Open waste dumping spotted behind Hospital Road,urgent,sanitation
2e275d7b7e,Electric pole wires hanging dangerously at River Bridge,urgent,electricity
b358e34fbc,Unhygienic conditions around public clinic at Ward 14,normal,health
dfee9f267d,No water supply in houses near School Gate since morning,normal,water
b0cc4ad547,Open waste dumping spotted behind River Bridge,normal,sanitation
dd1fde825a,Medical waste dumped openly behind Ward 14,normal,health
90d7e423e6,Open sewage causing foul smell near Community Hall,urgent,health
2b43b65354,Open waste dumping spotted behind Railway Crossing,urgent,sanitation
c3c795b156,Water leakage from main pipeline at Library Circle,urgent,water
cc1d39453a,Broken public bench near Sector 9,normal,other
760a84b0ef,Vandalized signboard at Stadium Entrance,normal,other
078da0e7d8,Noise complaint due to loud speakers at River Bridge,urgent,other
601b44c417,Street light not working at Stadium Entrance,normal,electricity
7d772f783c,Blocked drain causing stagnant water at Railway Crossing,urgent,sanitation
bd5ae43347,Broken public bench near Hospital Road,normal,other
8bc06f581c,Blocked drain causing stagnant water at School Gate,urgent,sanitation
927a4c25cf,Damaged speed breaker making vehicles jump at Railway Crossing,normal,road
6113133a7f,Electric pole wires hanging dangerously at Hospital Road,urgent,electricity
bdf03467ad,Vandalized signboard at Old Market,normal,other
e60ca3e097,Contaminated muddy water coming from tap at School Gate,urgent,water
8d4e350234,Overflowing dustbin causing smell at River Bridge,urgent,sanitation
d33b6d7c41,Construction debris blocking part of the road at Central Park,normal,road
7deda867df,Noise complaint due to loud speakers at Stadium Entrance,normal,other
66584ea05f,Unauthorized street vendor congestion at Temple Street,normal,other
98cc20f0fe,Unauthorized street vendor congestion at Bus Stand,urgent,other
fb7b9b5b23,Voltage fluctuation damaging appliances around Hospital Road,urgent,electricity
d9701057d0,Faded lane markings on busy junction at Railway Crossing,urgent,road
1ff2cc548d,Vandalized signboard at Sector 9,normal,other
9e96691446,Road surface broken and creating traffic jam at Sector 9,urgent,road
a256ac8a95,Mosquito breeding due to stagnant water at Old Market,urgent,health
832bca202a,Garbage pile not collected for days near Community Hall,urgent,sanitation
eae6a94c98,Broken public tap wasting water at Main Square,normal,water
586cc95c01,Litter scattered around market area near Sector 9,normal,sanitation
300445bc75,Damaged speed breaker making vehicles jump at Green Avenue,normal,road
78e83e4c9b,No water supply in houses near Central Park since morning,normal,water
b9961f9bc1,Open waste dumping spotted behind Ward 14,urgent,sanitation
b516f670ca,Garbage pile not collected for days near Library Circle,normal,sanitation
79c08fec77,Large pothole near Ward 14 causing accidents,urgent,road
d9701057d0,Faded lane markings on busy junction at Railway Crossing,normal,road
8aef3b2c51,Unhygienic conditions around public clinic at Temple Street,normal,health
e95e33e75e,No water supply in houses near Community Hall since morning,normal,water
ab993d90b6,Transformer making loud noise near Community Hall,normal,electricity
4308c29c0d,Vandalized signboard at Main Square,normal,other
99752fb7f2,Low pressure water supply reported around Railway Crossing,normal,water
56f40eb32b,Electric pole wires hanging dangerously at Old Market,urgent,electricity
749d5cdc55,Frequent power cuts happening near Hospital Road,normal,electricity
f3c9f74479,Street light not working at River Bridge,urgent,electricity
1646af104c,Dog bite incident reported at Stadium Entrance,urgent,health
ce79839540,Garbage pile not collected for days near Main Square,normal,sanitation
07964a23e9,Unauthorized street vendor congestion at Ward 14,normal,other
5c11165728,Broken public bench near Bus Stand,normal,other
5540addb03,Voltage fluctuation damaging appliances around Library Circle,normal,electricity
603ef71551,Medical waste dumped openly behind Library Circle,normal,health
aca53b77a1,Open waste dumping spotted behind Central Park,normal,sanitation
9f38c99a13,Contaminated muddy water coming from tap at Railway Crossing,urgent,water
316b623b5d,Construction debris blocking part of the road at River Bridge,normal,road
a9301d9c4c,Water leakage from main pipeline at Green Avenue,urgent,water
71ce9c8095,Dog bite incident reported at Green Avenue,urgent,health
cc8f212695,Garbage pile not collected for days near Ward 14,normal,sanitation
0c7d0c8432,Overflowing dustbin causing smell at Bus Stand,urgent,sanitation
f67186e43c,Vandalized signboard at Library Circle,normal,other
8f455a90f1,Open sewage causing foul smell near Old Market,urgent,health
4a29e2a5a2,Faded lane markings on busy junction at Sector 9,urgent,road
c14a43c652,Broken public bench near Old Market,normal,other
fa18725758,Frequent power cuts happening near Temple Street,normal,electricity
680261a43d,Road surface broken and creating traffic jam at Hospital Road,normal,road
0557d822e8,Large pothole near Library Circle causing accidents,urgent,road
524fb49b40,Open sewage causing foul smell near Ward 14,urgent,health
60b6f99818,Low pressure water supply reported around Main Square,normal,water
3f50a7d3a1,Large pothole near Sector 9 causing accidents,urgent,road
5b499827d2,Garbage pile not collected for days near Hospital Road,urgent,sanitation
277b43d361,No water supply in houses near Library Circle since morning,normal,water
283344a67d,Voltage fluctuation damaging appliances around Sector 9,urgent,electricity
55bb2b870e,Dog bite incident reported at Railway Crossing,urgent,health
02dab0eeed,Dog bite incident reported at School Gate,urgent,health
7512abe01b,Contaminated muddy water coming from tap at River Bridge,urgent,water
91492e3b45,Dog bite incident reported at Bus Stand,urgent,health
680261a43d,Road surface broken and creating traffic jam at Hospital Road,normal,road
fd76c67c3c,Large pothole near Bus Stand causing accidents,urgent,road
bcf33f77a8,Unhygienic conditions around public clinic at Hospital Road,normal,health
346fab2693,Broken public bench near Library Circle,normal,other
760a84b0ef,Vandalized signboard at Stadium Entrance,urgent,other
90ea83ddbe,Water leakage from main pipeline at Main Square,urgent,water
02dab0eeed,Dog bite incident reported at School Gate,urgent,health
9e96691446,Road surface broken and creating traffic jam at Sector 9,urgent,road
927a4c25cf,Damaged speed breaker making vehicles jump at Railway Crossing,normal,road
a7de879b5d,Water leakage from main pipeline at River Bridge,urgent,water
704c6acc97,Litter scattered around market area near Green Avenue,urgent,sanitation
8be3c16dab,Mosquito breeding due to stagnant water at Sector 9,urgent,health
ac8e00f17a,Large pothole near Hospital Road causing accidents,urgent,road
5b65285273,Contaminated muddy water coming from tap at Green Avenue,urgent,water
b8395e4579,Garbage pile not collected for days near Stadium Entrance,normal,sanitation
521203207c,Street light not working at Green Avenue,normal,electricity
586cc95c01,Litter scattered around market area near Sector 9,urgent,sanitation
860f3a9a94,Water leakage from main pipeline at Central Park,urgent,water
dc5d60db37,Overflowing dustbin causing smell at Ward 14,urgent,sanitation
3f50a7d3a1,Large pothole near Sector 9 causing accidents,urgent,road
9f38c99a13,Contaminated muddy water coming from tap at Railway Crossing,urgent,water
3ff747227d,Noise complaint due to loud speakers at Railway Crossing,urgent,other
